Sequenz;Verkaufsbeleg;Position;Name;MatBereitstell;Materialnummer;Text;Quality;;Quality-Version;YSOR vers.;Arbeitsplatz;Bedarfsmenge SD;Gewicht/1 ST [KG];Vorgangsmenge;Vorgangsmenge [TO];Gedrückt;Rest Presse;Rest Presse [TO];Auftrag;Modellnummer
0;520005168;180;TRIMET ALUMINIUM SE;10.02.2020;8100089983;250X120X115 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;230,000;7,314;237,000;1,733;0,000;237,000;1,733;110000158149;M.-16377
0;520005169;180;TRIMET ALUMINIUM SE;02.03.2020;8100089983;250X120X115 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;230,000;7,314;237,000;1,733;0,000;237,000;1,733;110000158538;M.-16377
0;520005168;350;TRIMET ALUMINIUM SE;10.02.2020;8100089984;250X120X120 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;110,000;7,632;114,000;0,870;0,000;114,000;0,870;110000158268;M.-16377
0;520005169;350;TRIMET ALUMINIUM SE;02.03.2020;8100089984;250X120X120 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;110,000;7,632;114,000;0,870;0,000;114,000;0,870;110000158657;M.-16377
0;520005168;300;TRIMET ALUMINIUM SE;10.02.2020;8100089988;F301X125X120 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;10,000;9,423;11,000;0,104;0,000;11,000;0,104;110000158233;M.-16382A
0;520005169;300;TRIMET ALUMINIUM SE;02.03.2020;8100089988;F301X125X120 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;10,000;9,423;11,000;0,104;0,000;11,000;0,104;110000158622;M.-16382A
0;520005168;310;TRIMET ALUMINIUM SE;10.02.2020;8100089989;301X125X120 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;190,000;9,572;196,000;1,876;0,000;196,000;1,876;110000158240;M.-16382
0;520005169;310;TRIMET ALUMINIUM SE;02.03.2020;8100089989;301X125X120 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;190,000;9,572;196,000;1,876;0,000;196,000;1,876;110000158629;M.-16382
0;520005168;320;TRIMET ALUMINIUM SE;10.02.2020;8100089990;F301X162X120 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;10,000;12,256;11,000;0,135;0,000;11,000;0,135;110000158247;M.-16382
0;520005169;320;TRIMET ALUMINIUM SE;02.03.2020;8100089990;F301X162X120 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;10,000;12,256;11,000;0,135;0,000;11,000;0,135;110000158636;M.-16382
0;520005168;540;TRIMET ALUMINIUM SE;10.02.2020;8100089999;250X133X64 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;90,000;4,511;93,000;0,420;0,000;93,000;0,420;110000158401;M.-13260
0;520005169;540;TRIMET ALUMINIUM SE;02.03.2020;8100089999;250X133X64 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;90,000;4,511;93,000;0,420;0,000;93,000;0,420;110000158790;M.-13260
0;520005168;550;TRIMET ALUMINIUM SE;10.02.2020;8100090000;240X90X64 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;310,000;2,930;320,000;0,938;0,000;320,000;0,938;110000158408;M.-16385
0;520005169;550;TRIMET ALUMINIUM SE;02.03.2020;8100090000;240X90X64 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;310,000;2,930;320,000;0,938;0,000;320,000;0,938;110000158797;M.-16385
0;520005168;170;TRIMET ALUMINIUM SE;10.02.2020;8100091461;F203X181X115 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;20,000;4,766;21,000;0,100;0,000;21,000;0,100;110000158142;M.-16427
0;520005169;170;TRIMET ALUMINIUM SE;02.03.2020;8100091461;F203X181X115 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;20,000;4,766;21,000;0,100;0,000;21,000;0,100;110000158531;M.-16427
0;520005168;330;TRIMET ALUMINIUM SE;10.02.2020;8100091462;F203X181X120 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;20,000;4,971;21,000;0,104;0,000;21,000;0,104;110000158254;M.-16427
0;520005169;330;TRIMET ALUMINIUM SE;02.03.2020;8100091462;F203X181X120 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;20,000;4,971;21,000;0,104;0,000;21,000;0,104;110000158643;M.-16427
0;520005168;160;TRIMET ALUMINIUM SE;10.02.2020;8100091463;F247X179X115 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;20,000;6,320;21,000;0,133;0,000;21,000;0,133;110000158135;M.-16428
0;520005169;160;TRIMET ALUMINIUM SE;02.03.2020;8100091463;F247X179X115 EII \ o.G.;900545;EII-9.23000.058-A;H003;'@9V@;P-SA-V4;20,000;6,320;21,000;0,133;0,000;21,000;0,133;110000158524;M.-16428
